    k     n             Re[I(theta1)]             Im[I(theta1)]
    4    26    7.4838656074786978e+05    5.4275615632754963e+00
    4    27    1.4026037917390200e+06    9.7841492725618444e+00
    4    28    2.6269539955203012e+06    1.7652890464596474e+01
    4    29    4.9172133818821087e+06    3.1876551543892305e+01
    4    30    9.1996083674493954e+06    5.7607341082564943e+01
    4    31    1.7204133837553959e+07    1.0418942572343363e+02
    4    32    3.2161384494450819e+07    1.8858071788311139e+02
    4    33    6.0103094605400965e+07    3.4157613646430082e+02
    4    34    1.1228916443920326e+08    6.1913226439802906e+02
    4    35    2.0973649902707905e+08    1.1229862861815539e+03
    4    36    3.9166919813104343e+08    2.0382167092515510e+03
    4    37    7.3128444540155876e+08    3.7017008019745595e+03
    4    38    1.3651660545390923e+09    6.7269447130182016e+03
    4    39    2.5481572860828190e+09    1.2231815128633365e+04
    4    40    4.7557258844889050e+09    2.2254187793375790e+04
    4    41    8.8749202715770779e+09    4.0510912408508717e+04
    4    42    1.6560579775723906e+10    7.3784261403905941e+04
    4    43    3.0899799589801758e+10    1.3445569862031331e+05
    4    44    5.7651392383687988e+10    2.4513827501016948e+05
    4    45    1.0755790722050284e+11    4.4714918876712502e+05
    4    46    2.0065832483445261e+11    8.1601182990424067e+05
    4    47    3.7433270185445642e+11    1.4898299920847199e+06
    4    48    6.9830824216802087e+11    2.7212413379791579e+06
    4    49    1.3026510780323723e+12    4.9725778945156392e+06
    4    50    2.4299816624602788e+12    9.0902257357445527e+06
    4    51    4.5328777051909814e+12    1.6624204225982621e+07
    4    52    8.4555729190790674e+12    3.0414102105918404e+07
    4    53    1.5772909634539814e+13    5.5663703481931075e+07
    4    54    2.9422654437803797e+13    1.0191248524679974e+08
    4    55    5.4885105217857883e+13    1.8665357384231374e+08
    4    56    1.0238373543943269e+14    3.4197508127838802e+08
    4    57    1.9099074911638531e+14    6.2675475175978529e+08
    4    58    3.5628664153104175e+14    1.1490575651641557e+09
    4    59    6.6465065879936238e+14    2.1072838046282315e+09
    4    60    1.2399231951515643e+15    3.8657844127163663e+09
    4    61    2.3131523635307600e+15    7.0938499920630770e+09
    4    62    4.3154132970484805e+15    1.3021250305883347e+10
    4    63    8.0509989622239630e+15    2.3908171917728069e+10
    4    64    1.5020584172280624e+16    4.3909637567979172e+10
    4    65    2.8024247188288016e+16    8.0665913639429642e+10
    4    66    5.2286734185936792e+16    1.4822928712968323e+11
    4    67    9.7557309387682656e+16    2.7245130044988950e+11
    4    68    1.8202838302439005e+17    5.0090100131900085e+11
    4    69    3.3964844888162560e+17    9.2112890259738416e+11
    4    70    6.3376985875463373e+17    1.6943060191741387e+12
    4    71    1.1826197040162964e+18    3.1171934974545308e+12
    4    72    2.2068375299728742e+18    5.7363249899211533e+12
    4    73    4.1182000885138017e+18    1.0558434019047521e+13
    4    74    7.6852225331743846e+18    1.9438324289458141e+13
    4    75    1.4342255058003149e+19    3.5793942571113164e+13
    4    76    2.6766431617189347e+19    6.5924914240245773e+13
